corrAns,trial number,tilt,key_resp.corr,trials_2.response,,,corrAns,trial number,tilt,key_resp.corr,trials_2.response,,corrAns,trial number,tilt,key_resp.corr,trials_2.response,Absolute Tilt,,tilt,trial number,key_resp.corr
right,1,10,1,1,,,right,8,1,1,1,,right,41,1.5,1,1,1.5,,10,1,1
left,2,-8,1,1,,,right,9,1,0,0,,right,42,1.5,0,0,1.5,,-8,2,1
right,3,6,1,1,,,left,16,-1,1,1,,left,50,-1.5,1,1,1.5,,6,3,1
left,4,-4,1,1,,,right,17,1,0,0,,left,51,-1.5,0,0,1.5,,-4,4,1
left,5,-2,1,1,,,right,20,1.5,1,1,,right,54,2.5,1,1,2.5,,-2,5,1
right,6,1,1,1,,,right,21,1,0,0,,right,55,2.5,0,0,2.5,,1,6,1
left,7,-1,1,1,,,left,24,-1.5,1,1,,right,72,1,1,1,1,,-1,7,1
right,8,1,1,1,,,right,25,1,0,0,,left,73,-1,0,0,1,,1,8,1
right,9,1,0,0,,,left,27,-1.5,1,1,,left,78,-1,1,1,1,,1,9,0
right,10,2,1,1,,,left,28,-1.5,0,0,,left,79,-1,0,0,1,,2,10,1
left,11,-2,1,1,,,left,39,-1,1,1,,,,,,,,,-2,11,1
left,12,-2,1,1,,,left,40,-1,0,0,,,,,,,,,-2,12,1
right,13,1,1,1,,,right,41,1.5,1,1,,,,,,,,,1,13,1
left,14,-1,1,1,,,right,42,1.5,0,0,,,,,Difference Threshold (JND),1.5,,,-1,14,1
left,15,-1,1,1,,,left,50,-1.5,1,1,,,,,,,,,-1,15,1
left,16,-1,1,1,,,left,51,-1.5,0,0,,,,,,,,,-1,16,1
right,17,1,0,0,,,right,54,2.5,1,1,,,,,,,,,1,17,0
right,18,1.5,1,1,,,right,55,2.5,0,0,,,,,,,,,1.5,18,1
left,19,-1.5,1,1,,,right,72,1,1,1,,,,,,,,,-1.5,19,1
right,20,1.5,1,1,,,left,73,-1,0,0,,,,,,,,,1.5,20,1
right,21,1,0,0,,,left,78,-1,1,1,,,,,,,,,1,21,0
right,22,1.5,1,1,,,left,79,-1,0,0,,,,,,,,,1.5,22,1
right,23,1.5,1,1,,,,,,,,,,,,,,,,1.5,23,1
left,24,-1.5,1,1,,,,,,,,,,,,,,,,-1.5,24,1
right,25,1,0,0,,,,,,,,,,,,,,,,1,25,0
right,26,1.5,1,1,,,,,,,,,,,,,,,,1.5,26,1
left,27,-1.5,1,1,,,,,,,,,,,,,,,,-1.5,27,1
left,28,-1.5,0,0,,,,,,,,,,,,,,,,-1.5,28,0
right,29,2,1,1,,,,,,,,,,,,,,,,2,29,1
right,30,2,1,1,,,,,,,,,,,,,,,,2,30,1
right,31,2,1,1,,,,,,,,,,,,,,,,2,31,1
right,32,1.5,1,1,,,,,,,,,,,,,,,,1.5,32,1
left,33,-1.5,1,1,,,,,,,,,,,,,,,,-1.5,33,1
right,34,1.5,1,1,,,,,,,,,,,,,,,,1.5,34,1
left,35,-1,1,1,,,,,,,,,,,,,,,,-1,35,1
left,36,-1,1,1,,,,,,,,,,,,,,,,-1,36,1
right,37,1,1,1,,,,,,,,,,,,,,,,1,37,1
right,38,1,1,1,,,,,,,,,,,,,,,,1,38,1
left,39,-1,1,1,,,,,,,,,,,,,,,,-1,39,1
left,40,-1,0,0,,,,,,,,,,,,,,,,-1,40,0
right,41,1.5,1,1,,,,,,,,,,,,,,,,1.5,41,1
right,42,1.5,0,0,,,,,,,,,,,,,,,,1.5,42,0
left,43,-2,0,0,,,,,,,,,,,,,,,,-2,43,0
left,44,-2.5,1,1,,,,,,,,,,,,,,,,-2.5,44,1
right,45,2.5,1,1,,,,,,,,,,,,,,,,2.5,45,1
right,46,2.5,1,1,,,,,,,,,,,,,,,,2.5,46,1
right,47,2,1,1,,,,,,,,,,,,,,,,2,47,1
right,48,2,1,1,,,,,,,,,,,,,,,,2,48,1
left,49,-2,1,1,,,,,,,,,,,,,,,,-2,49,1
left,50,-1.5,1,1,,,,,,,,,,,,,,,,-1.5,50,1
left,51,-1.5,0,0,,,,,,,,,,,,,,,,-1.5,51,0
left,52,-2,0,0,,,,,,,,,,,,,,,,-2,52,0
