thisN,thisTrialN,thisRepN,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.tilt,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,0,0,-1,up,0,1.23253296,None,0,0,0,0,0.03635875,,FALSE,0.02012329,0.03635875,1.003004,1.003004,2.24379717,-1,up,0,1.23253296,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
1,0,1,0,up,1,0.47724825,None,1,0,1,0,2.26962292,,,2.24385683,2.26962292,3.25286458,3.25286458,3.73745763,0,up,1,0.47724825,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
2,0,2,0,up,1,0.36191258,None,2,0,2,0,3.75275446,,,3.73751229,3.75275446,4.73615538,4.73615538,5.10286017,0,up,1,0.36191258,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
3,0,3,0,up,1,0.291242,None,3,0,3,0,5.12022092,,,5.10291362,5.12022092,6.10279454,6.10279454,6.40310704,0,up,1,0.291242,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
4,0,4,0,up,1,0.34622254,None,4,0,4,0,6.42044775,,,6.40315892,6.42044775,7.40277158,7.40277158,7.75307604,0,up,1,0.34622254,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
5,0,5,0,up,1,0.37124621,None,5,0,5,0,7.76938775,,,7.75312425,7.76938775,8.75270596,8.75270596,9.13628587,0,up,0,0.37124621,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
6,0,6,0,up,1,0.37586067,None,6,0,6,0,9.15271008,,,9.13632379,9.15271008,10.1370481,10.1370481,10.5197183,0,up,0,0.37586067,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
7,0,7,-1,up,0,0.307336,None,7,0,7,0,10.5367598,,,10.5197656,10.5367598,11.5195175,11.5195175,11.8362757,-1,up,0,0.307336,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
8,0,8,0,up,1,0.37000067,None,8,0,8,0,11.8528548,,,11.8363093,11.8528548,12.8368123,12.8368123,13.2195557,0,up,1,0.37000067,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
9,0,9,0,up,1,0.32157875,None,9,0,9,0,13.2370668,,,13.2195927,13.2370668,14.220198,14.220198,14.5527692,0,up,1,0.32157875,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
10,0,10,0,up,1,0.3692675,None,10,0,10,0,14.5693929,,,14.5528019,14.5693929,15.5534703,15.5534703,15.9362736,0,up,1,0.3692675,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
11,0,11,0,up,1,0.37088187,None,11,0,11,0,15.9527049,,,15.9363069,15.9527049,16.9368113,16.9368113,17.319599,0,up,1,0.37088187,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
12,0,12,0,up,1,0.36155875,None,12,0,12,0,17.3368476,,,17.3196291,17.3368476,18.3200826,18.3200826,18.686238,0,up,1,0.36155875,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
13,0,13,0,up,1,0.40904858,None,13,0,13,0,18.7028002,,,18.6862768,18.7028002,19.6865767,19.6865767,20.1028192,0,up,0,0.40904858,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
14,0,14,0,up,1,0.34430583,None,14,0,14,0,20.1200406,,,20.1028534,20.1200406,21.1032675,21.1032675,21.4523424,0,up,0,0.34430583,None,Participant 1,1,2026-09-10_14h28.39.655,orient_discrimination,,2026.2.3,60.055326,2026-09-10 14h28.39.679573 +0530
