trials_2.thisTrialN,trials_2.stepSize,trials_2.intensity,thisRow.t,notes,piloting,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials_2.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0,2,10,0.04305238,,FALSE,0.02654854,0.04305238,0.50970183,0.50970183,0.54296117,0.80964554,1.34808767,right,10,1,1,0.80928846,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
1,2,8,1.35965104,,,1.34814658,1.35965104,1.85961321,1.85961321,1.85961321,2.15974313,2.41036212,left,-8,1,1,0.54632,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
2,2,6,2.42659317,,,2.41039871,2.42659317,2.90975375,2.90975375,2.92638217,3.20970171,3.31010521,right,6,1,1,0.39014504,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
3,2,4,3.32637321,,,3.31014729,3.32637321,3.80971667,3.80971667,3.82615917,4.10966008,4.27640575,left,-4,1,1,0.45121879,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
4,2,2,4.29301937,,,4.2764355,4.29301937,4.77620129,4.77620129,4.79296621,5.076284,5.52639592,left,-2,1,1,0.74363804,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
5,2,1,5.54285029,,,5.52642538,5.54285029,6.02609329,6.02609329,6.04297029,6.32644933,6.72668692,right,1,1,1,0.68971525,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
6,2,1,6.74296321,,,6.72671162,6.74296321,7.22626862,7.22626862,7.24288888,7.52635158,7.9931195,left,-1,1,1,0.76451121,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
7,2,1,8.00968162,,,7.99314375,8.00968162,8.4930285,8.4930285,8.50963262,8.79294183,9.07642908,right,1,1,1,0.57671108,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
8,1,1,9.09284983,,,9.07645725,9.09284983,9.57620775,9.57620775,9.59302637,9.87614275,10.2763592,right,1,0,0,0.69749,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
9,1,2,10.2928033,,,10.2763869,10.2928033,10.7763456,10.7763456,10.7929886,11.0762846,11.4262694,right,2,1,1,0.64233242,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
10,1,2,11.4428772,,,11.4262976,11.4428772,11.9263818,11.9263818,11.9429783,12.2262941,12.5097707,left,-2,1,1,0.56731925,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
11,1,2,12.5262268,,,12.5097917,12.5262268,13.0095615,13.0095615,13.0261951,13.3095117,13.8430639,left,-2,1,1,0.82002125,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
12,1,1,13.8594973,,,13.8430869,13.8594973,14.342826,14.342826,14.3594342,14.6427724,15.1929873,right,1,1,1,0.84977562,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
13,1,1,15.2095814,,,15.1930121,15.2095814,15.6929045,15.6929045,15.7095731,15.9928314,16.3597792,left,-1,1,1,0.65259521,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
14,1,1,16.376236,,,16.3597995,16.376236,16.859569,16.859569,16.8761778,17.1595046,17.5263135,left,-1,1,1,0.66092308,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
15,1,1,17.5427405,,,17.5263365,17.5427405,18.0262283,18.0262283,18.0428552,18.3261537,18.5429653,left,-1,1,1,0.50021617,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
16,0.5,1,18.5594555,,,18.5429854,18.5594555,19.0427632,19.0427632,19.0595426,19.3428985,19.6265368,right,1,0,0,0.57265958,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
17,0.5,1.5,19.6428598,,,19.6265853,19.6428598,20.1262015,20.1262015,20.1427686,20.4261549,21.2926313,right,1.5,1,1,1.16517104,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
18,0.5,1.5,21.3094739,,,21.2926593,21.3094739,21.7927607,21.7927607,21.8093692,22.0927047,22.4262558,left,-1.5,1,1,0.61863838,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
19,0.5,1.5,22.4428377,,,22.4262837,22.4428377,22.9260157,22.9260157,22.9427974,23.226131,23.4097579,right,1.5,1,1,0.46926721,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
20,0.5,1,23.4261635,,,23.4097838,23.4261635,23.9094829,23.9094829,23.9261888,24.20958,24.4264092,right,1,0,0,0.50677313,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
21,0.5,1.5,24.442839,,,24.4264325,24.442839,24.9261889,24.9261889,24.9428017,25.2261364,25.4262555,right,1.5,1,1,0.499128,Participant 1,1,2026-09-08_15h39.02.597,adaptive_staircase,,2026.2.3,60.0241747,2026-09-08 15h39.02.629025 +0530
